date,value,metric,source,fetched_at
2019-12-01,3.6,unemployment_bls,BLS,2026-03-15 21:39:21.448837
2019-11-01,3.6,unemployment_bls,BLS,2026-03-15 21:39:21.448842
2019-10-01,3.6,unemployment_bls,BLS,2026-03-15 21:39:21.448843
2019-09-01,3.5,unemployment_bls,BLS,2026-03-15 21:39:21.448847
2019-08-01,3.6,unemployment_bls,BLS,2026-03-15 21:39:21.448848
2019-07-01,3.7,unemployment_bls,BLS,2026-03-15 21:39:21.448850
2019-06-01,3.6,unemployment_bls,BLS,2026-03-15 21:39:21.448850
2019-05-01,3.6,unemployment_bls,BLS,2026-03-15 21:39:21.448852
2019-04-01,3.7,unemployment_bls,BLS,2026-03-15 21:39:21.448853
2019-03-01,3.8,unemployment_bls,BLS,2026-03-15 21:39:21.448854
2019-02-01,3.8,unemployment_bls,BLS,2026-03-15 21:39:21.448854
2019-01-01,4.0,unemployment_bls,BLS,2026-03-15 21:39:21.448855
2018-12-01,3.9,unemployment_bls,BLS,2026-03-15 21:39:21.448856
2018-11-01,3.8,unemployment_bls,BLS,2026-03-15 21:39:21.448857
2018-10-01,3.8,unemployment_bls,BLS,2026-03-15 21:39:21.448857
2018-09-01,3.7,unemployment_bls,BLS,2026-03-15 21:39:21.448858
2018-08-01,3.8,unemployment_bls,BLS,2026-03-15 21:39:21.448858
2018-07-01,3.8,unemployment_bls,BLS,2026-03-15 21:39:21.448859
2018-06-01,4.0,unemployment_bls,BLS,2026-03-15 21:39:21.448860
2018-05-01,3.8,unemployment_bls,BLS,2026-03-15 21:39:21.448860
2018-04-01,4.0,unemployment_bls,BLS,2026-03-15 21:39:21.448862
2018-03-01,4.0,unemployment_bls,BLS,2026-03-15 21:39:21.448862
2018-02-01,4.1,unemployment_bls,BLS,2026-03-15 21:39:21.448863
2018-01-01,4.0,unemployment_bls,BLS,2026-03-15 21:39:21.448864
2017-12-01,4.1,unemployment_bls,BLS,2026-03-15 21:39:21.448864
2017-11-01,4.2,unemployment_bls,BLS,2026-03-15 21:39:21.448865
2017-10-01,4.2,unemployment_bls,BLS,2026-03-15 21:39:21.448866
2017-09-01,4.3,unemployment_bls,BLS,2026-03-15 21:39:21.448868
2017-08-01,4.4,unemployment_bls,BLS,2026-03-15 21:39:21.448868
2017-07-01,4.3,unemployment_bls,BLS,2026-03-15 21:39:21.448869
2017-06-01,4.3,unemployment_bls,BLS,2026-03-15 21:39:21.448869
2017-05-01,4.4,unemployment_bls,BLS,2026-03-15 21:39:21.448870
2017-04-01,4.4,unemployment_bls,BLS,2026-03-15 21:39:21.448870
2017-03-01,4.4,unemployment_bls,BLS,2026-03-15 21:39:21.448871
2017-02-01,4.6,unemployment_bls,BLS,2026-03-15 21:39:21.448872
2017-01-01,4.7,unemployment_bls,BLS,2026-03-15 21:39:21.448872
2016-12-01,4.7,unemployment_bls,BLS,2026-03-15 21:39:21.448873
2016-11-01,4.7,unemployment_bls,BLS,2026-03-15 21:39:21.448874
2016-10-01,4.9,unemployment_bls,BLS,2026-03-15 21:39:21.448874
2016-09-01,5.0,unemployment_bls,BLS,2026-03-15 21:39:21.448876
2016-08-01,4.9,unemployment_bls,BLS,2026-03-15 21:39:21.448877
2016-07-01,4.8,unemployment_bls,BLS,2026-03-15 21:39:21.448877
2016-06-01,4.9,unemployment_bls,BLS,2026-03-15 21:39:21.448878
2016-05-01,4.8,unemployment_bls,BLS,2026-03-15 21:39:21.448878
2016-04-01,5.1,unemployment_bls,BLS,2026-03-15 21:39:21.448879
2016-03-01,5.0,unemployment_bls,BLS,2026-03-15 21:39:21.448880
2016-02-01,4.9,unemployment_bls,BLS,2026-03-15 21:39:21.448880
2016-01-01,4.8,unemployment_bls,BLS,2026-03-15 21:39:21.448881
2015-12-01,5.0,unemployment_bls,BLS,2026-03-15 21:39:21.448881
2015-11-01,5.1,unemployment_bls,BLS,2026-03-15 21:39:21.448882
2015-10-01,5.0,unemployment_bls,BLS,2026-03-15 21:39:21.448882
2015-09-01,5.0,unemployment_bls,BLS,2026-03-15 21:39:21.448883
2015-08-01,5.1,unemployment_bls,BLS,2026-03-15 21:39:21.448884
2015-07-01,5.2,unemployment_bls,BLS,2026-03-15 21:39:21.448885
2015-06-01,5.3,unemployment_bls,BLS,2026-03-15 21:39:21.448886
2015-05-01,5.6,unemployment_bls,BLS,2026-03-15 21:39:21.448886
2015-04-01,5.4,unemployment_bls,BLS,2026-03-15 21:39:21.448887
2015-03-01,5.4,unemployment_bls,BLS,2026-03-15 21:39:21.448888
2015-02-01,5.5,unemployment_bls,BLS,2026-03-15 21:39:21.448888
2015-01-01,5.7,unemployment_bls,BLS,2026-03-15 21:39:21.448889
2014-12-01,5.6,unemployment_bls,BLS,2026-03-15 21:39:21.448889
2014-11-01,5.8,unemployment_bls,BLS,2026-03-15 21:39:21.448890
2014-10-01,5.7,unemployment_bls,BLS,2026-03-15 21:39:21.448890
2014-09-01,5.9,unemployment_bls,BLS,2026-03-15 21:39:21.448891
2014-08-01,6.1,unemployment_bls,BLS,2026-03-15 21:39:21.448892
2014-07-01,6.2,unemployment_bls,BLS,2026-03-15 21:39:21.448893
2014-06-01,6.1,unemployment_bls,BLS,2026-03-15 21:39:21.448894
2014-05-01,6.3,unemployment_bls,BLS,2026-03-15 21:39:21.448894
2014-04-01,6.2,unemployment_bls,BLS,2026-03-15 21:39:21.448895
2014-03-01,6.7,unemployment_bls,BLS,2026-03-15 21:39:21.448895
2014-02-01,6.7,unemployment_bls,BLS,2026-03-15 21:39:21.448896
2014-01-01,6.6,unemployment_bls,BLS,2026-03-15 21:39:21.448897
2013-12-01,6.7,unemployment_bls,BLS,2026-03-15 21:39:21.448898
2013-11-01,6.9,unemployment_bls,BLS,2026-03-15 21:39:21.448899
2013-10-01,7.2,unemployment_bls,BLS,2026-03-15 21:39:21.448899
2013-09-01,7.2,unemployment_bls,BLS,2026-03-15 21:39:21.448900
2013-08-01,7.2,unemployment_bls,BLS,2026-03-15 21:39:21.448900
2013-07-01,7.3,unemployment_bls,BLS,2026-03-15 21:39:21.448902
2013-06-01,7.5,unemployment_bls,BLS,2026-03-15 21:39:21.448902
2013-05-01,7.5,unemployment_bls,BLS,2026-03-15 21:39:21.448903
2013-04-01,7.6,unemployment_bls,BLS,2026-03-15 21:39:21.448903
2013-03-01,7.5,unemployment_bls,BLS,2026-03-15 21:39:21.448904
2013-02-01,7.7,unemployment_bls,BLS,2026-03-15 21:39:21.448905
2013-01-01,8.0,unemployment_bls,BLS,2026-03-15 21:39:21.448905
2012-12-01,7.9,unemployment_bls,BLS,2026-03-15 21:39:21.448907
2012-11-01,7.7,unemployment_bls,BLS,2026-03-15 21:39:21.448907
2012-10-01,7.8,unemployment_bls,BLS,2026-03-15 21:39:21.448908
2012-09-01,7.8,unemployment_bls,BLS,2026-03-15 21:39:21.448910
2012-08-01,8.1,unemployment_bls,BLS,2026-03-15 21:39:21.448910
2012-07-01,8.2,unemployment_bls,BLS,2026-03-15 21:39:21.448911
2012-06-01,8.2,unemployment_bls,BLS,2026-03-15 21:39:21.448911
2012-05-01,8.2,unemployment_bls,BLS,2026-03-15 21:39:21.448912
2012-04-01,8.2,unemployment_bls,BLS,2026-03-15 21:39:21.448912
2012-03-01,8.2,unemployment_bls,BLS,2026-03-15 21:39:21.448913
2012-02-01,8.3,unemployment_bls,BLS,2026-03-15 21:39:21.448914
2012-01-01,8.3,unemployment_bls,BLS,2026-03-15 21:39:21.448915
2011-12-01,8.5,unemployment_bls,BLS,2026-03-15 21:39:21.448915
2011-11-01,8.6,unemployment_bls,BLS,2026-03-15 21:39:21.448916
2011-10-01,8.8,unemployment_bls,BLS,2026-03-15 21:39:21.448916
2011-09-01,9.0,unemployment_bls,BLS,2026-03-15 21:39:21.448917
2011-08-01,9.0,unemployment_bls,BLS,2026-03-15 21:39:21.448918
2011-07-01,9.0,unemployment_bls,BLS,2026-03-15 21:39:21.448918
2011-06-01,9.1,unemployment_bls,BLS,2026-03-15 21:39:21.448919
2011-05-01,9.0,unemployment_bls,BLS,2026-03-15 21:39:21.448920
2011-04-01,9.1,unemployment_bls,BLS,2026-03-15 21:39:21.448921
2011-03-01,9.0,unemployment_bls,BLS,2026-03-15 21:39:21.448921
2011-02-01,9.0,unemployment_bls,BLS,2026-03-15 21:39:21.448922
2011-01-01,9.1,unemployment_bls,BLS,2026-03-15 21:39:21.448923
